frames, LHipRoll, LHipPitch, LKneePitch, LAnkleRoll, LAnklePitch, RHipRoll, RHipPitch, RKneePitch, RAnkleRoll, RAnklePitch, HeadPitch, HeadYaw, LHipYawPitch, LElbowRoll, RElbowRoll, LWristYaw, RWristYaw, LShoulderRoll, LShoulderPitch, LElbowYaw, RShoulderRoll, RShoulderPitch, RElbowYaw
11.3545, 0.199592, -0.737554, 0.653757, -0.0141736, -0.0985374, -0.280006, -0.458467, 0.630242, -0.0534741, -0.354037, -0.0281276, -0.00393027, -0.108145, -1.55445, 1.32484, -0.350726, -0.0669952, 0.0199196, 0.898834, -0.64918, 0.646494, 0.471468, 0.501611
11.3628, 0.199323, -0.73604, 0.645255, -0.0158537, -0.087315, -0.274044, -0.458048, 0.622573, -0.0556938, -0.357569, -0.019721, -0.0178238, -0.0956561, -1.55835, 1.30555, -0.353071, -0.062754, 0.0171233, 0.901571, -0.651188, 0.663405, 0.439308, 0.485833
11.3712, 0.193232, -0.737983, 0.638586, -0.0158683, -0.0812669, -0.275362, -0.462307, 0.613686, -0.0550615, -0.354619, -0.0236347, -0.0301835, -0.0841455, -1.55823, 1.28541, -0.356349, -0.0578854, 0.0105566, 0.903557, -0.651109, 0.680799, 0.410062, 0.46909
11.3795, 0.19672, -0.740871, 0.631608, -0.0153497, -0.0758716, -0.266865, -0.466815, 0.605025, -0.055291, -0.353801, -0.036651, -0.0414853, -0.0716018, -1.55709, 1.26705, -0.359452, -0.051467, 0.00535383, 0.904224, -0.650479, 0.695524, 0.382414, 0.453243
11.3879, 0.212583, -0.741236, 0.623641, -0.0160932, -0.0650835, -0.246112, -0.466291, 0.598227, -0.0573594, -0.356768, -0.0480985, -0.0531859, -0.0626746, -1.55855, 1.24663, -0.361121, -0.0453641, 0.00451073, 0.903616, -0.651191, 0.710703, 0.353241, 0.434898
11.3962, 0.215966, -0.738858, 0.617642, -0.0149893, -0.0608626, -0.238066, -0.463851, 0.591325, -0.0588628, -0.358951, -0.0563411, -0.0656855, -0.0547959, -1.55982, 1.22177, -0.361786, -0.038333, -0.00143559, 0.90221, -0.651697, 0.733609, 0.319655, 0.412444
11.4045, 0.214383, -0.738551, 0.613169, -0.012041, -0.0614738, -0.235002, -0.464026, 0.582799, -0.0603488, -0.360046, -0.0605395, -0.0805195, -0.04561, -1.55935, 1.19821, -0.363353, -0.0300588, -0.0168326, 0.904051, -0.651264, 0.754944, 0.281148, 0.391172
11.4129, 0.218139, -0.747823, 0.608963, -0.0119668, -0.0526608, -0.22675, -0.46838, 0.573273, -0.0618339, -0.360047, -0.0670152, -0.0930555, -0.0402476, -1.55832, 1.17426, -0.363845, -0.0232961, -0.0202039, 0.90698, -0.650839, 0.767957, 0.245758, 0.370179
11.4212, 0.227209, -0.763674, 0.605554, -0.0139065, -0.0392612, -0.214077, -0.474646, 0.563464, -0.0626402, -0.360421, -0.0889141, -0.0974245, -0.0379317, -1.56066, 1.14685, -0.364573, -0.015573, -0.00434947, 0.904241, -0.652399, 0.780223, 0.216566, 0.347711
11.4295, 0.233591, -0.776339, 0.60427, -0.014579, -0.0318626, -0.204116, -0.478683, 0.551878, -0.0616787, -0.355743, -0.104351, -0.102787, -0.0344677, -1.56457, 1.11677, -0.367746, -0.0109667, 0.00187232, 0.897677, -0.654469, 0.801424, 0.183034, 0.324849
11.4379, 0.229845, -0.78382, 0.604999, -0.0143522, -0.0304282, -0.202829, -0.482358, 0.540438, -0.0587221, -0.345162, -0.0989408, -0.115563, -0.0265954, -1.56684, 1.08418, -0.365971, -0.0112427, 0.00586574, 0.891818, -0.655462, 0.82394, 0.145925, 0.302371
11.4462, 0.22943, -0.787831, 0.605235, -0.0137317, -0.0312929, -0.199882, -0.484517, 0.530273, -0.056068, -0.335463, -0.0931271, -0.129255, -0.0202588, -1.56956, 1.04864, -0.359006, -0.00768221, 0.014946, 0.884219, -0.656584, 0.844499, 0.109262, 0.280064
11.4546, 0.235743, -0.800256, 0.604399, -0.00680008, -0.0596414, -0.190473, -0.487817, 0.515968, -0.0545019, -0.327312, -0.0852724, -0.143225, -0.0205258, -1.57047, 1.01204, -0.357763, 0.0018907, 0.00691458, 0.877874, -0.656703, 0.867003, 0.0675331, 0.25818
11.4629, 0.238463, -0.802976, 0.596313, -0.00605821, -0.0535369, -0.189784, -0.489295, 0.513872, -0.0544073, -0.329218, -0.0801209, -0.152826, -0.0211035, -1.56921, 0.972319, -0.364713, 0.0119581, -0.00838933, 0.873333, -0.655811, 0.892031, 0.0221948, 0.235756
11.4712, 0.242188, -0.803505, 0.591394, -0.00332916, -0.0508388, -0.189267, -0.488054, 0.509086, -0.0538507, -0.332936, -0.0873553, -0.158461, -0.00212668, -1.57002, 0.92789, -0.371143, 0.0178558, -0.0143858, 0.866258, -0.656012, 0.920019, -0.0233309, 0.212539
11.4796, 0.244593, -0.818067, 0.584877, -0.00690875, -0.0296252, -0.184333, -0.500633, 0.510655, -0.0544855, -0.336613, -0.09142, -0.165573, -0.0157974, -1.57172, 0.886079, -0.36902, 0.0273483, -0.0106528, 0.859175, -0.656691, 0.942324, -0.0635516, 0.192215
11.4879, 0.244623, -0.830076, 0.586172, -0.00861058, -0.00928374, -0.181585, -0.511679, 0.507802, -0.0538668, -0.333726, -0.101482, -0.173498, -0.0158238, -1.57236, 0.844081, -0.36373, 0.0408149, -0.00958523, 0.854421, -0.656853, 0.959983, -0.103865, 0.173047
11.4962, 0.247479, -0.843986, 0.587082, -0.014362, 0.00227371, -0.174045, -0.522926, 0.513059, -0.0544145, -0.333922, -0.113008, -0.180781, -0.0215387, -1.57413, 0.798081, -0.364535, 0.0489504, -0.0179708, 0.847705, -0.657541, 0.980235, -0.148444, 0.153112
11.5046, 0.2512, -0.859327, 0.594621, -0.0166175, 0.00665368, -0.167337, -0.528418, 0.506289, -0.0537221, -0.329326, -0.117778, -0.187574, -0.0231013, -1.5766, 0.754164, -0.368334, 0.0543052, -0.0205537, 0.836919, -0.658511, 1.00088, -0.186567, 0.135024
11.5129, 0.25841, -0.872481, 0.59854, -0.0156834, 0.00875654, -0.160672, -0.53776, 0.503336, -0.0530852, -0.32685, -0.115793, -0.197477, -0.023151, -1.57604, 0.707347, -0.367083, 0.0497539, -0.0200908, 0.826537, -0.657902, 1.02487, -0.225989, 0.116895
11.5213, 0.271517, -0.88593, 0.600777, -0.014808, 0.0133126, -0.148358, -0.548369, 0.502962, -0.052992, -0.327242, -0.122501, -0.204855, -0.0221685, -1.57233, 0.654834, -0.364215, 0.0340652, -0.0295334, 0.821778, -0.655753, 1.04834, -0.273209, 0.0981552
